amfi_code,avg_daily_return,volatility,sharpe_ratio,rank
148567,0.001073675403449074,0.008941194822595944,1.448291170326253,1
120843,0.001081754914045028,0.010007860815167741,1.306743969542841,2
148569,0.0011240540293206507,0.011133577708427309,1.2349300257743312,3
119551,0.0009167982325947245,0.008656289856377532,1.208266567372714,4
120505,0.0011613203372383726,0.012152155877011161,1.180101197660648,5
149323,0.0010551910655343993,0.011179029641055042,1.1321218524747207,6
100033,0.0010798038431409655,0.01192900655226637,1.0936987435346326,7
118632,0.0008652259973214254,0.008912624198545462,1.0816591793457038,8
101206,0.0008517723174694527,0.009177111485957174,1.0272133278753697,9
120504,0.0008430464116382278,0.00904833125387796,1.0265242847992984,10
119094,0.0010266978562569007,0.012225334849231459,0.99823098686364,11
119552,0.0007852425930349852,0.008780976223037728,0.9532794968660094,12
149324,0.0011941715475284563,0.015647858323745795,0.9497958246616012,13
119598,0.001201015736998063,0.015837075918187622,0.945308257515609,14
148568,0.0008250722735460003,0.009719447430866616,0.9262873467360143,15
102885,0.0006741587522893952,0.008086315812687705,0.8170993373494355,16
120503,0.0006975954084313717,0.008746373512793074,0.7979728586052822,17
125497,0.0007095223731125664,0.009240517486188725,0.7757902498211184,18
118635,0.0006004739698755357,0.008178621336543353,0.6648569985490606,19
120506,0.0006501094769466256,0.009594323495169184,0.6488787755249534,20
118633,0.0006163137445172879,0.00881741580085364,0.6452074382933202,21
102887,0.0006453406943106673,0.009926838079358336,0.6195175900829826,22
120507,0.0002676525413792974,0.0003111357089670544,0.49572339295190765,23
120841,0.0005220152587214231,0.008481394140912193,0.4942725378672308,24
149322,0.0005222511308194386,0.009042081769919368,0.46403744922047474,25
118634,0.0007071093821003037,0.0159006636040582,0.4484340089089893,26
125498,0.00047686346287115043,0.011560944277330884,0.3006119210425449,27
101207,0.00042445286814923546,0.016250785494711657,0.16266076928646744,28
119093,0.0003298586443710108,0.008808648249969893,0.12961449795668886,29
120842,0.0003119045881482694,0.011272610878515376,0.07599984804658422,30
119092,0.0002749789297660465,0.008788090603213406,0.0307848509545839,31
119599,0.00020131692580289384,0.01571710148929079,-0.05718662582818192,32
119095,0.00018236517391230034,0.015790461312930524,-0.07597357117478934,33
120844,0.00025612874999295657,0.000323359346354264,-0.08874729621698073,34
100016,0.00014159930699210875,0.009164463506291005,-0.2015170675596699,35
102886,0.00010981472233970669,0.01142370928909811,-0.20583160785470483,36
119120,0.00022226830595075363,0.0024990143961776674,-0.2265753866279456,37
118636,0.000201533313113653,0.0025106530475991133,-0.35662950751440037,38
100025,0.00017005379350089821,0.0024600734466666586,-0.5670947928477086,39
101208,0.00024154628565903447,0.0003190254082164959,-0.8155673679101648,40
