amfi_code,date,nav,daily_return,scheme,rolling_sharpe
119551,2022-01-03,54.3856,,SBI Bluechip Fund - Regular Plan - Growth,
119551,2022-01-04,54.3474,-0.0007023918095966,SBI Bluechip Fund - Regular Plan - Growth,
119551,2022-01-05,54.6869,0.006246848975296,SBI Bluechip Fund - Regular Plan - Growth,
119551,2022-01-06,55.455,0.0140454112410832,SBI Bluechip Fund - Regular Plan - Growth,
119551,2022-01-07,55.3692,-0.0015472004327833,SBI Bluechip Fund - Regular Plan - Growth,
119551,2022-01-10,55.2835,-0.0015477919131936,SBI Bluechip Fund - Regular Plan - Growth,
119551,2022-01-11,56.0878,0.0145486447131604,SBI Bluechip Fund - Regular Plan - Growth,
119551,2022-01-12,56.4978,0.007309967586534,SBI Bluechip Fund - Regular Plan - Growth,
119551,2022-01-13,56.2934,-0.0036178399866897,SBI Bluechip Fund - Regular Plan - Growth,
119551,2022-01-14,56.5926,0.0053150102853976,SBI Bluechip Fund - Regular Plan - Growth,
119551,2022-01-17,56.3908,-0.0035658372296024,SBI Bluechip Fund - Regular Plan - Growth,
119551,2022-01-18,56.1887,-0.0035839179440618,SBI Bluechip Fund - Regular Plan - Growth,
119551,2022-01-19,56.3378,0.0026535584557036,SBI Bluechip Fund - Regular Plan - Growth,
119551,2022-01-20,55.4237,-0.0162253407126299,SBI Bluechip Fund - Regular Plan - Growth,
119551,2022-01-21,54.6151,-0.0145894265449617,SBI Bluechip Fund - Regular Plan - Growth,
119551,2022-01-24,54.373,-0.0044328400021239,SBI Bluechip Fund - Regular Plan - Growth,
119551,2022-01-25,53.9173,-0.0083809979217626,SBI Bluechip Fund - Regular Plan - Growth,
119551,2022-01-26,54.0948,0.0032920787947468,SBI Bluechip Fund - Regular Plan - Growth,
119551,2022-01-27,53.6911,-0.0074628245228747,SBI Bluechip Fund - Regular Plan - Growth,
119551,2022-01-28,53.0538,-0.0118697512250632,SBI Bluechip Fund - Regular Plan - Growth,
119551,2022-01-31,53.7718,0.0135334321009992,SBI Bluechip Fund - Regular Plan - Growth,
119551,2022-02-01,53.6925,-0.0014747507057601,SBI Bluechip Fund - Regular Plan - Growth,
119551,2022-02-02,53.7522,0.0011118871350748,SBI Bluechip Fund - Regular Plan - Growth,
119551,2022-02-03,53.1084,-0.0119771841896703,SBI Bluechip Fund - Regular Plan - Growth,
119551,2022-02-04,52.8813,-0.0042761597035497,SBI Bluechip Fund - Regular Plan - Growth,
119551,2022-02-07,52.9604,0.0014958028641502,SBI Bluechip Fund - Regular Plan - Growth,
119551,2022-02-08,52.4526,-0.0095882961609051,SBI Bluechip Fund - Regular Plan - Growth,
119551,2022-02-09,52.6538,0.0038358441716903,SBI Bluechip Fund - Regular Plan - Growth,
119551,2022-02-10,52.4027,-0.0047688865760874,SBI Bluechip Fund - Regular Plan - Growth,
119551,2022-02-11,52.295,-0.0020552376118024,SBI Bluechip Fund - Regular Plan - Growth,
119551,2022-02-14,52.0451,-0.0047786595276795,SBI Bluechip Fund - Regular Plan - Growth,
119551,2022-02-15,52.9295,0.0169929541878102,SBI Bluechip Fund - Regular Plan - Growth,
119551,2022-02-16,52.9506,0.0003986434785894,SBI Bluechip Fund - Regular Plan - Growth,
119551,2022-02-17,52.486,-0.0087742159673356,SBI Bluechip Fund - Regular Plan - Growth,
119551,2022-02-18,52.8954,0.007800175284838,SBI Bluechip Fund - Regular Plan - Growth,
119551,2022-02-21,52.3559,-0.0101993746148059,SBI Bluechip Fund - Regular Plan - Growth,
119551,2022-02-22,52.4795,0.0023607654533681,SBI Bluechip Fund - Regular Plan - Growth,
119551,2022-02-23,51.607,-0.0166255394963747,SBI Bluechip Fund - Regular Plan - Growth,
119551,2022-02-24,51.0323,-0.0111360861898579,SBI Bluechip Fund - Regular Plan - Growth,
119551,2022-02-25,51.1474,0.0022554343033724,SBI Bluechip Fund - Regular Plan - Growth,
119551,2022-02-28,51.5081,0.0070521668745626,SBI Bluechip Fund - Regular Plan - Growth,
119551,2022-03-01,51.6126,0.002028807119657,SBI Bluechip Fund - Regular Plan - Growth,
119551,2022-03-02,51.5866,-0.0005037529595487,SBI Bluechip Fund - Regular Plan - Growth,
119551,2022-03-03,51.4764,-0.0021362136678905,SBI Bluechip Fund - Regular Plan - Growth,
119551,2022-03-04,50.8357,-0.0124464803288496,SBI Bluechip Fund - Regular Plan - Growth,
119551,2022-03-07,50.5401,-0.0058148112448535,SBI Bluechip Fund - Regular Plan - Growth,
119551,2022-03-08,50.3612,-0.0035397634749437,SBI Bluechip Fund - Regular Plan - Growth,
119551,2022-03-09,50.8591,0.00988657935077,SBI Bluechip Fund - Regular Plan - Growth,
