amfi_code,date,nav,daily_return,scheme
100016,2022-01-03,520.4608,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-01-04,515.0971,-0.0103056752785224,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-01-05,521.7239,0.0128651471732224,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-01-06,515.788,-0.011377473794089,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-01-07,515.1639,-0.0012099932530419,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-01-10,510.7136,-0.0086386099647122,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-01-11,513.5542,0.0055620214539029,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-01-12,512.3195,-0.0024042252989072,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-01-13,510.2445,-0.0040502069509357,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-01-14,514.3636,0.0080727964730633,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-01-17,514.7627,0.0007759102704778,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-01-18,517.3803,0.0050850615244655,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-01-19,513.1866,-0.0081056429864068,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-01-20,507.1294,-0.0118031141109297,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-01-21,507.871,0.0014623486628857,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-01-24,506.7062,-0.0022934957892849,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-01-25,509.7762,0.006058737785328,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-01-26,509.68,-0.0001887102614833,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-01-27,510.8661,0.0023271464448282,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-01-28,503.8641,-0.0137061355216171,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-01-31,512.5903,0.0173185587145421,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-02-01,512.1124,-0.0009323235340191,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-02-02,515.5386,0.0066903281389008,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-02-03,512.0153,-0.0068342118320527,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-02-04,513.6729,0.0032374032572854,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-02-07,508.0666,-0.0109141440009781,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-02-08,510.3595,0.0045129910133829,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-02-09,509.0223,-0.0026201138609157,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-02-10,509.4161,0.0007736399760875,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-02-11,512.826,0.0066937421098391,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-02-14,507.5435,-0.0103007647818168,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-02-15,504.7492,-0.005505537948964,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-02-16,507.0506,0.0045594921200469,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-02-17,516.7872,0.0192024227956737,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-02-18,516.4246,-0.0007016427651457,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-02-21,519.3918,0.0057456596761655,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-02-22,519.1698,-0.0004274229974365,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-02-23,528.4118,0.0178014976988261,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-02-24,520.6004,-0.0147827887265196,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-02-25,521.3038,0.0013511322695871,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-02-28,514.1489,-0.0137250102531383,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-03-01,503.1674,-0.0213585986472013,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-03-02,504.7495,0.0031442816048894,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-03-03,505.6316,0.0017475995518567,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-03-04,504.6233,-0.0019941396067809,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-03-07,504.411,-0.0004207098641698,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-03-08,518.6513,0.0282315413422784,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-03-09,517.7387,-0.0017595636991558,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-03-10,520.3416,0.00502743951727,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-03-11,517.6372,-0.0051973549683514,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-03-14,519.2545,0.003124389050864,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-03-15,518.432,-0.0015840016793305,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-03-16,516.825,-0.0030997314980556,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-03-17,525.4534,0.0166950128186522,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-03-18,531.2109,0.010957203816742,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-03-21,532.1264,0.0017234209614296,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-03-22,521.6911,-0.0196105662113362,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-03-23,520.3011,-0.0026644119479898,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-03-24,533.1283,0.0246534170310228,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-03-25,532.3194,-0.0015172707957915,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-03-28,537.8012,0.0102979526953179,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-03-29,544.965,0.0133205355436172,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-03-30,546.3002,0.002450065600543,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-03-31,542.5392,-0.0068844931779266,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-04-01,531.285,-0.0207435702341878,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-04-04,534.7762,0.0065712376596367,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-04-05,531.2213,-0.0066474536450948,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-04-06,532.3217,0.0020714530836769,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-04-07,526.7582,-0.0104513868211646,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-04-08,525.7986,-0.0018217087080941,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-04-11,526.2264,0.000813619511349,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-04-12,527.7466,0.0028888706457903,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-04-13,522.8529,-0.0092728214639373,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-04-14,528.6739,0.0111331504520679,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-04-15,526.1696,-0.0047369465373646,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-04-18,518.7241,-0.0141503804096624,HDFC Top 100 Fund - Regular Plan - Growth
