amfi_code,tracking_error
100016,0.1992836029389024
100025,0.1345351441558557
100033,0.22869942052083056
101206,0.19270640513696483
101207,0.2921174251929158
101208,0.12895689217736647
102885,0.18368034296960897
102886,0.22560814215136585
102887,0.20221623215661777
118632,0.19211519250390058
118633,0.19344939246000703
118634,0.27728637398295525
118635,0.18307639338664894
118636,0.13475826828890305
119092,0.18908165842556576
119093,0.18789983772186877
119094,0.23765197701108315
119095,0.28578133369850856
119120,0.13564645267040462
119551,0.1911825685163077
119552,0.19212721030300633
119598,0.28388145413326615
119599,0.27713513796263706
120503,0.19294776031543617
120504,0.19158700379722526
120505,0.2319675096004627
120506,0.1960048394985741
120507,0.12904357559503346
120841,0.18311878418576277
120842,0.21916937594238303
120843,0.20642496841144012
120844,0.12904556781048554
125497,0.19107208897596084
125498,0.22359208242967163
148567,0.18966367792157976
148568,0.20321345225145626
148569,0.21736518889258521
149322,0.1932640633104867
149323,0.2195211631988536
149324,0.2791703084182669
